BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,900600,ACS,1/1/2017,1/31/2017,STUDENT LOANS,617,2017,ACS
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,900601,ACS,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,ACS
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,900602,ACS,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,ACS
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,900607,ACS,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,ACS
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,900613,ACS,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,ACS
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,900614,ACS,1/1/2017,1/31/2017,STUDENT LOANS,700,2017,ACS
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,900615,ACS,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,ACS
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,900616,ACS,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,ACS
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,900617,ACS,1/1/2017,1/31/2017,STUDENT LOANS,536.88,2017,ACS
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/26/2017,AP,901179,DEPT OF EDUCATION/GREAT LAKES - DOE,11/1/2016,11/30/2016,STUDENT LOANS,623.48,2016,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/7/2017,AP,902113,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,600,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/8/2017,AP,901937,DEPT OF EDUCATION/GREAT LAKES - DOE,10/1/2016,10/31/2016,STUDENT LOANS,623.48,2016,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904293,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904296,VERMONT STUDENT ASSISTANCE,2/1/2017,2/28/2017,STUDENT LOANS,617,2017,VERMONT STUDENT ASSISTANCE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904297,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904298,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,600,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904301,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,800,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904302,DEPT OF EDUCATION/NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904305,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,523.71,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904306,DEPT OF EDUCATION/NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904314,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904315,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904316,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904317,NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,812.07,2017,NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904320,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,700,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904321,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904322,ACS,2/1/2017,2/28/2017,STUDENT LOANS,557,2017,ACS
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904323,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904324,NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904331,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904332,DEPT OF EDUCATION/MOHELA,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/MOHELA
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904333,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904334,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904337,DEPT OF EDUCATION/MOHELA,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/MOHELA
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904338,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904339,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904341,DEPT OF EDUCATION/NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904342,DEPT OF EDUCATION/NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,519,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904349,DEPT OF EDUCATION/NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,600,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904350,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904351,AMERICAN EDUCATION SERVICES,2/1/2017,2/28/2017,STUDENT LOANS,762.47,2017,AMERICAN EDUCATION SERVICES
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904354,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,750,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904355,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904356,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,733.2,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904357,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904358,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904359,DEPT OF EDUCATION/NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904360,DEPT OF EDUCATION/NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,830,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904363,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,723,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904364,DEPT OF EDUCATION/NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904368,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904371,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,740.4,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904375,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904378,DEPT OF EDUCATION/MOHELA,2/1/2017,2/28/2017,STUDENT LOANS,813,2017,DEPT OF EDUCATION/MOHELA
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904380,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904382,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904383,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904384,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,633,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904387,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904389,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,600,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904391,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904392,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904393,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904394,GREAT LAKES EDUCATIONAL COMMERCIAL LOAN,2/1/2017,2/28/2017,STUDENT LOANS,538.55,2017,GREAT LAKES EDUCATIONAL COMMERCIAL LOAN
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904395,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,750,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904399,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,650,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904400,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904401,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,740.4,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904403,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904404,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904406,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,740.4,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904407,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904409,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904410,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904411,DEPT OF EDUCATION/NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904413,DEPT OF EDUCATION/NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,509,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904415,DEPT OF EDUCATION/NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904416,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904417,DEPT OF EDUCATION/NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904419,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,688.16,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904423,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,650,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904424,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904426,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904428,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904429,NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,800,2017,NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904430,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,665,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904431,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904432,DEPT OF EDUCATION/MOHELA,2/1/2017,2/28/2017,STUDENT LOANS,800,2017,DEPT OF EDUCATION/MOHELA
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904433,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904434,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,800,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904438,DEPT OF EDUCATION/NELNET,2/1/2017,2/28/2017,STUDENT LOANS,800,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904439,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,762,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904441,DEPT OF EDUCATION/NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904444,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904446,NAVIENT,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904447,DEPT OF EDUC VIA FEDLOAN SVC,2/1/2017,2/28/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,2/21/2017,AP,904448,DEPT OF EDUCATION/GREAT LAKES - DOE,2/1/2017,2/28/2017,STUDENT LOANS,572.74,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
